,계약년,주소,단지명,전용면적(㎡),면적라벨,거래금액(만원),m2당금액(만원)
328,2012,경기도 신원동 658,A9블럭신원마을호반베르디움,84,3.0,38506,452
329,2012,경기도 신원동 658,A9블럭신원마을호반베르디움,108,3.0,51312,470
330,2012,경기도 일산동 1040,후곡마을(대우),59,1.0,15866,266
331,2012,경기도 일산동 1040,후곡마을(대우),70,2.0,21683,307
332,2012,경기도 일산동 1040,후곡마을(대우),84,3.0,25750,302
333,2012,경기도 일산동 1040,후곡마을(벽산),59,1.0,15450,259
334,2012,경기도 일산동 1040,후곡마을(벽산),70,2.0,19920,282
335,2012,경기도 일산동 1040,후곡마을(벽산),84,3.0,24633,289
336,2012,경기도 일산동 1046,후곡마을(대창),53,1.0,16016,297
337,2012,경기도 일산동 1046,후곡마을(대창),71,2.0,22160,311
338,2012,경기도 일산동 1046,후곡마을(대창),84,3.0,27400,322
339,2012,경기도 일산동 1046,후곡마을(동양),53,1.0,15275,283
340,2012,경기도 일산동 1046,후곡마을(동양),71,2.0,22120,310
341,2012,경기도 일산동 1048,후곡마을(영풍),101,3.0,35750,351
342,2012,경기도 일산동 1048,후곡마을(영풍),128,3.0,41483,321
343,2012,경기도 일산동 1048,후곡마을(영풍),157,3.0,51000,323
344,2012,경기도 일산동 1048,후곡마을(한진),157,3.0,42300,267
345,2012,경기도 일산동 1050,후곡마을(건영6),50,1.0,13315,262
346,2012,경기도 일산동 1050,후곡마을(건영6),72,2.0,20325,279
347,2012,경기도 일산동 1050,후곡마을(건영6),84,3.0,28520,337
348,2012,경기도 일산동 1050,후곡마을(동부),51,1.0,14044,274
349,2012,경기도 일산동 1050,후곡마을(동부),65,2.0,21000,319
350,2012,경기도 일산동 1050,후곡마을(동부),84,3.0,25366,298
351,2012,경기도 일산동 1055,후곡마을(동성),59,1.0,16535,277
352,2012,경기도 일산동 1055,후곡마을(동성),69,2.0,23750,341
353,2012,경기도 일산동 1055,후곡마을(동성),84,3.0,28230,334
354,2012,경기도 일산동 1057,후곡마을(동신),101,3.0,32000,314
355,2012,경기도 일산동 1057,후곡마을(동신),116,3.0,39350,336
356,2012,경기도 일산동 1057,후곡마을(동신),134,3.0,39000,289
357,2012,경기도 일산동 1058,후곡마을(럭키),49,1.0,16188,326
358,2012,경기도 일산동 1058,후곡마을(럭키),72,2.0,26040,359
359,2012,경기도 일산동 1058,후곡마을(럭키),84,3.0,34533,406
360,2012,경기도 일산동 1058,후곡마을(롯데),51,1.0,16050,313
361,2012,경기도 일산동 1058,후곡마을(롯데),70,2.0,25905,365
362,2012,경기도 일산동 1058,후곡마을(롯데),84,3.0,33790,398
